,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Temp in Imperial
0,Bandarbeyla,0,SO,1556929475,82,9.49,50.81,298.752,3.04,78.08360000000006
1,Yumen,100,CN,1556929476,22,40.29,97.04,292.122,10.07,66.14960000000006
2,Waitati,95,NZ,1556929234,67,-45.75,170.57,286.48,2.24,55.99400000000007
3,Leningradskiy,14,RU,1556929476,82,69.38,178.42,272.322,3.79,30.509600000000045
4,Solnechnyy,96,RU,1556929476,39,50.72,136.64,288.022,4.07,58.769600000000025
5,Cockburn Town,51,TC,1556929476,80,21.46,-71.14,299.602,9.58,79.61359999999999
6,Norman Wells,20,CA,1556928000,53,65.28,-126.83,269.15,3.1,24.8
7,Albany,90,US,1556929265,87,42.65,-73.75,287.59,3.6,57.992
8,Khatanga,54,RU,1556929477,91,71.98,102.47,263.892,1.69,15.335600000000035
9,Torbay,90,CA,1556929406,89,47.66,-52.73,276.15,8.7,37.4
10,Cap-aux-Meules,40,CA,1556928000,78,47.38,-61.86,278.15,2.1,41.0
11,Jamestown,4,AU,1556929363,78,-33.21,138.6,287.062,2.58,57.04160000000006
12,Arkadelphia,20,US,1556929380,100,34.12,-93.05,295.15,1.51,71.6
13,Ribeira Grande,75,PT,1556928000,88,38.52,-28.7,290.15,3.1,62.6
14,Busselton,61,AU,1556929476,64,-33.64,115.35,290.37,11.88,62.99600000000005
15,Chicama,6,PE,1556929479,95,-7.84,-79.15,291.522,6.48,65.06960000000002
16,New Norfolk,75,AU,1556929456,81,-42.78,147.06,286.48,3.6,55.99400000000007
17,Rikitea,27,PF,1556929479,73,-23.12,-134.97,298.172,8.96,77.03960000000009
18,Yatsuo,20,JP,1556929197,71,36.58,137.14,292.04,0.5,66.00200000000008
19,Victoria,75,BN,1556926200,94,5.28,115.24,299.15,1.0,78.8
20,Cherskiy,95,RU,1556929480,100,68.75,161.3,273.632,0.79,32.86760000000005
21,Tuktoyaktuk,5,CA,1556928000,79,69.44,-133.03,269.15,7.7,24.8
22,Winnemucca,1,US,1556928920,15,40.97,-117.74,295.15,3.1,71.6
23,Hobart,75,AU,1556929155,81,-42.88,147.33,286.48,3.6,55.99400000000007
24,Ushuaia,0,AR,1556924400,64,-54.81,-68.31,276.15,5.7,37.4
25,Puerto Ayora,20,EC,1556928922,78,-0.74,-90.35,301.15,8.2,82.4
26,Fortuna,20,ES,1556929475,82,38.18,-1.13,288.15,2.6,59.0
27,Cape Town,0,ZA,1556929267,87,-33.93,18.42,287.59,2.1,57.992
28,Hasaki,40,JP,1556929413,68,35.73,140.83,294.26,6.2,69.99800000000002
29,Severo-Kurilsk,91,RU,1556929482,77,50.68,156.12,276.102,6.08,37.313599999999994
30,Marawi,9,PH,1556929090,64,8.0,124.29,302.04,0.89,84.00200000000008
31,Mataura,100,NZ,1556929207,61,-46.19,168.86,291.48,5.36,64.99400000000007
32,Port Alfred,26,ZA,1556929358,82,-33.59,26.89,289.26,1.34,60.998000000000026
33,Punta Arenas,0,CL,1556929390,86,-53.16,-70.91,274.15,3.1,33.8
34,Arraial do Cabo,75,BR,1556924400,83,-22.97,-42.02,299.15,5.1,78.8
35,Lebu,20,ET,1556928000,41,8.96,38.73,289.15,1.0,60.8
36,Lasa,20,CY,1556928000,93,34.92,32.53,289.15,3.1,60.8
37,Pochutla,40,MX,1556929039,70,15.74,-96.47,303.15,7.7,86.0
38,Bud,100,NO,1556929200,86,62.91,6.91,277.15,4.6,39.2
39,Vao,15,EE,1556929484,76,59.1,26.19,271.712,3.59,29.41160000000002
40,Zacatepec,79,MX,1556929485,45,20.06,-98.01,293.422,3.61,68.48960000000008
41,Rawson,45,AR,1556929485,51,-43.3,-65.11,281.022,4.1,46.169600000000024
42,Hithadhoo,100,MV,1556929485,77,-0.6,73.08,302.282,3.67,84.4376
43,Megion,90,RU,1556926200,86,61.04,76.11,278.15,4.0,41.0
44,Bethel,75,US,1556927580,65,60.79,-161.76,280.15,8.2,44.6
45,Longyearbyen,20,NO,1556927400,66,78.22,15.63,264.15,10.8,15.8
46,Bambous Virieux,75,MU,1556929440,83,-20.34,57.76,296.48,6.7,73.99400000000007
47,Bredasdorp,63,ZA,1556928000,81,-34.53,20.04,284.15,2.6,51.8
48,Lagoa,0,PT,1556929303,93,37.14,-8.45,291.48,3.1,64.99400000000007
49,Butaritari,100,KI,1556929487,77,3.07,172.79,301.622,6.06,83.24960000000007
50,Saint-Philippe,90,CA,1556929479,100,45.36,-73.48,283.15,2.1,50.0
51,Lisakovsk,48,KZ,1556929488,37,52.55,62.49,282.092,7.01,48.09560000000001
52,Qaqortoq,100,GL,1556929488,48,60.72,-46.03,281.482,2.99,46.99760000000009
53,Upernavik,0,GL,1556929488,90,72.79,-56.15,271.262,6.02,28.60160000000004
54,Salalah,40,OM,1556927400,83,17.01,54.1,301.15,1.0,82.4
55,Carnarvon,0,ZA,1556929489,49,-30.97,22.13,285.882,3.31,54.91760000000005
56,Staryy Nadym,99,RU,1556929269,100,65.61,72.68,274.622,3.02,34.64960000000006
57,Adiake,20,CI,1556926200,83,5.29,-3.3,302.15,3.6,84.2
58,Arman,69,RU,1556929489,58,59.7,150.17,278.462,2.2,41.56160000000002
59,Atuona,0,PF,1556929489,77,-9.8,-139.03,302.032,7.38,83.98760000000001
60,Iracoubo,70,GF,1556929489,84,5.48,-53.21,299.202,3.3,78.89360000000003
61,Constitucion,75,MX,1556929216,10,23.99,-104.67,299.15,9.3,78.8
62,Tessalit,0,ML,1556929490,13,20.2,1.01,305.092,4.13,89.49560000000001
63,Komsomolskiy,89,RU,1556929451,89,67.55,63.78,272.322,6.75,30.509600000000045
64,Ugoofaaru,89,MV,1556929347,74,5.67,73.0,302.222,4.27,84.3296
65,Bubaque,0,GW,1556929490,69,11.28,-15.83,298.822,9.29,78.20960000000005
66,Kapaa,40,US,1556929418,69,22.08,-159.32,301.48,7.7,82.99400000000007
67,Pacific Grove,1,US,1556929457,59,36.62,-121.92,299.15,4.6,78.8
68,Bathsheba,40,BB,1556924400,74,13.22,-59.52,300.15,8.7,80.6
69,Port Lincoln,99,AU,1556929491,63,-34.72,135.86,288.172,3.07,59.039600000000085
70,Kyzyl-Mazhalyk,0,RU,1556929491,44,51.15,90.58,272.482,0.76,30.79760000000009
71,Barrow,33,AR,1556929492,69,-38.31,-60.23,283.852,2.66,51.2636
72,Gigmoto,12,PH,1556929492,73,13.78,124.39,301.662,2.74,83.3216
73,Moroni,20,US,1556929468,30,39.52,-111.59,291.48,0.45,64.99400000000007
74,Namibe,22,AO,1556929492,79,-15.19,12.15,295.552,2.39,72.32360000000008
75,Yanam,100,IN,1556929492,76,16.73,82.22,301.232,0.34,82.54760000000009
76,Vaitape,84,PF,1556929320,72,-16.52,-151.75,301.002,6.38,82.13360000000006
